# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |" "ark:gunzip -c exp/mono/fsts.2.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split4/2/utt2spk scp:data/train/split4/2/cmvn.scp scp:data/train/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >exp/mono/ali.2.gz" 
# Started at Mon Feb 25 10:32:36 CST 2019
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - |' 'ark:gunzip -c exp/mono/fsts.2.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split4/2/utt2spk scp:data/train/split4/2/cmvn.scp scp:data/train/split4/2/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >exp/mono/ali.2.gz' 
gmm-boost-silence --boost=1.0 1 exp/mono/9.mdl - 
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split4/2/utt2spk scp:data/train/split4/2/cmvn.scp scp:data/train/split4/2/feats.scp ark:- 
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-001
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-002
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-003
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-004
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-005
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-006
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-007
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-008
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-009
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-010
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-011
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-012
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-013
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-014
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-015
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-016
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-017
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-018
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-019
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-020
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-021
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-022
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-023
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-024
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-025
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-026
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-027
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-028
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-029
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-030
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-031
LOG (gmm-align-compiled[5.5]:main():gmm-align-compiled.cc:127) 05-032
